Tarih;Tweet;Hashtag
Jun 25, 2023;Kemal Canpolat ve Fatih Koparan Þam’dan yayýn yapýyorlar. Hani “iç savaþ var, Suriyelileri geri yollayamayýz” dedikleri ülkeden. Suriyelileri Türkiye’de tutmak istemelerinin nedeni onlarý iç savaþtan korumak deðil, Türkiye’de çýkarýlmasý planlanan iç savaþta kullanmak için;
Jun 30, 2023;Bak sen konuþana….Nagehan Alçý Suriyelilere “korkmayýn, Ümit Özdað’ý Türk halký desteklemiyor” diyor. Ülkesinin demografik iþgalini destekliyor. Boðaz’da FETÖ parasý ile yalýda oturup Türkiye’yi peþkeþ çekmek diye buna denir.;
Jun 27, 2023;Ýstanbul’un Araplar tarafýndan yaðmalanmasý ve iþgalinin ara elemaný olan bu Arap emlakçý iþgal ve talaný gündeme getirmeme çok sinirlenmiþ. Esas ne zaman sinirleneceksin biliyor musun? Zafer Partisi bütün emlak karþýlýðý vatandaþlýklarý iptal edince. Türk halký, Türkiye’nin Filistin gibi satýlarak iþgal edilmesine izin vermeyecek. Kan ile aldýðýmýz vatanýmýzý dolar ile satmayacaðýz. Kanal Ýstanbul denilen Türkiye’ye ihanet ve Arap iþgali politikasýna izin vermeyeceðiz. Kendi ülkemize 2. Sýnýf insan olup, itilip kakýlmayacaðýz. https://twitter.com/HudutNamu3tur/status/1673389097006579712;
Jun 26, 2023;Türk vatandaþlýðý alan Suriyeli evinin balkonunda oturan Türk kýzýna cinsel organýný göstererek taciz ediyor. Kýzýn babasý Suriyeli tacizciye hesap soruyor. Tavizci, kýzýn babasýndan beni dövdü diye þikayetçi oluyor. Zafer Partisi genel baþkan yardýmcýsý Sevdagül Tuncer, Özge’nin ablasýnýn ve babasýnýn avukatlýðýný üstlenecek. Zafer Partililer de mahkeme günü adliyede olacak. Hiçbir Türk kýzý kendisini yalnýz hissetmesin. Zafer Partisi var;
Jun 29, 2023;Þam’da günlük yaþamdan bir baþka kesit. Bu arada Þam’da eczanelerde parasýný Türk halkýnýn ödediði, Türkiye’de doktorlarýn reçetesini yazdýðý, Suriyelilerin bedava aldýðý ve Suriye’ye sattýðý ilaçlarý bulabilirsiniz;
Jun 24, 2023;"Sýðýnmacý akýmýnýn saðlýk sistemimizi hýrpalandýðýný ve kaybolmuþ hastalýklarýn tekrar ortaya çýkacaðýný 3 yýl önce yazmýþtým. Nitekim oldu. Kýzamýk vakalarý son 3 ayda özellikle 3 Büyükþehirde olmak üzere artýþ göstermiþ durumda. Hastaneler tarafýndan halk saðlýðý müdürlüklerine bildirim yapýlmasýna raðmen net vaka sayýlarý açýklanmýyor gizli tutuluyor. Düzenli ve kontrollü aþýlama programý ile Türkiyede neredeyse hiç kýzamýk vakasý ile karþýlaþýlmazken düzensiz ve kontrolsüz göç nedeni ile hastalýk ile baþa çýkýlamaz hale gelindi. Takip zinciri kýrýlýr ise aþýlama yapýlan vatandaþlarýmýzýn bile hastalýðýn olumsuz etkilerinden kaçmalarý mümkün olmayabilir. Hasta olan bireyler ve çevresi erken dönem ve geç dönemde zatürre, beyin enfeksiyonu, sakatlýk hatta ölüm tehlikesi ile karþý karþýya kalýyorlar. Nitekim büyükþehirlerdeki hastanelerden her gün kýzamýk nedeni ile yoðun bakým yatýþý ve ölümü olduðu ile ilgili bilgiler geliyor. Özellikle bebekler, hamileler, yaþlýlar ve baðýþýklýðý düþük bireyler risk altýnda. Tüm saðlýk çalýþanlarý, hastaneler ve halk saðlýðý müdürlükleri durumun farkýnda iken; acilen vaka sayýlarý açýklanmalý, halk  bilgilendirilmeli, vaka yayýlýmýna karþý tüm önlemler alýnmalý, aþýlama zinciri tekrar kurulmalý. Göçler devam ederken bu mümkün deðil. Üstelik þimdiye kadar Hastalýklar Suriyelilerden kaynaklanýyor. Afganistan kaynaklý salgýnlar henüz kuluçka aþamasýnda. Ve ben bunlarý uluslararasý bir kuruluþun temsilcisinden dinleyeli 4 sene oluyor. Erdoðan’ý iktidarda tutanlar ülkenize nasýl bir kötülük yaptýðýnýzý bilseydiniz keþke. ";
Jun 26, 2023;Mersin’in Akdeniz ilçesi, Kazanlý Mahallesinde 2 hafta kadar önce bir Türk çocuk Suriyeliler tarafýndan jiletli saldýrýya uðrayarak yaralanmýþtý. Bu saldýrýdan sonra mahallede bölgede olaylar baþladý. Mersin polisi 4 ay önce Suriyeliler tarafýndan “Þam caddesinde” öldürülen Mersinli genç Onur’un cinayeti gibi bu olaylarý da basmýþ yansýtmadý. Bölgede polisler Suriyeliler darp edilmesin diye Suriyelilerin evinin önünde nöbet tutuyorlar. Suriyelilerden Býkan Kazanlý halký direniyor “ya onlar gidecek ya biz”diyorlar. Bu iþ kötüye gidiyor;
Jun 24, 2023;Ümit Özdað ve Zafer Partisi ýrkçý! Çocuklarýmýzý tecavüzden kurtarmak için çalýþmak ýrkçýlýk ise ýrkçýyýz. Türkiye’yi genelev gibi gören ahlaksýz sürüleri ülkemize sokmayacaðýz, girenleri de ülkelerine geri yollayacaðýz. ;
Jun 23, 2023;Önce ýrkçý dedin þimdi kadýn düþmaný. Oysa Gebze’de tecavüz edilerek öldürülen Ayþegül’ün avukatlarý senin ifaden ile “Özdaðcý”. Ýstiklal caddesinde durduk yere dövülen, Esenyurt’ta asansörde taviz edilen, Ýzmir’de sebepsiz yere dövülen genç kýzýn avukatý da “Özdaðcý”. Senin yaþam tarzýný da Özdaðcýlar savunuyor. Keþke seni taciz eden Suudi sapýða Özdaðcýlara kýzdýðýn kadar kýzsaydýn. Kýzmadýðýn için Özdaðcýlar sana sitem ediyorlar. Sen kýzsan, ýrkçý desen de Zafer Partisi senin haklarýný tavizsiz savunmaya devam edecek.;
Jun 30, 2023;Fransa’da gerçekleþen olaylar Türkiye’nin ileride baþýna gelebilecek olaylara ýþýk tutuyor. Dikkatle okumanýzý öneririm. ;
Jun 30, 2023;"Türk Dýþiþleri Bakanlýðý bu soruyu cevaplamalýdýr. Türk vatandaþlýðý verilen Araplar Dýþiþleri Bakanlýðýmýzda Konsolos, ticari ateþe ve danýþman olarak görevlendirilecek mi? 
";
Jun 23, 2023;Türkiye’nin 3 yaþamsal 1 kronik sorunu var. 1) 13 milyon sýðýnmacý ve kaçak, 2)Gençliðimizi çürüten uyuþturucu, 3)Ýstanbul depremi yaþamsal sorunlar. 4. Ve kronik sorun ise ekonomik kriz. Zafer Partisi bu 4  sorunu aþacak program ve kadroya sahip;
Jun 23, 2023;Yorumsuz;
Jun 22, 2023;Yalansýz Suriye görüntüleri, izleyelim. Fatih Koparan’a teþekkürler…;
Jun 22, 2023;Seni yollamak ayrý bir keyif verecek.;
Jun 22, 2023;Suriye seyahatinden önce Ýstiklal Caddesinde Suriye Pasajýna gittik. Zafer Partisi Ýstanbul’daki tek Suriyeli olarak Suriye Pasajýnýn kalmasýný saðlayacak.;
Jun 22, 2023;"17 Haziran’da … pasaport numaralý, Irak Musul doðumlu, Alman vatandaþý þahýs Ýstanbul Havalimanýndayken Türkiye’ye giriþ yasaðý olduðu ortaya çýkýyor. Bu þahýs Türkiyeden Faruk isimli kiþiyi telefonla arayýp Türk görevlilerin, yanýnda ukalaca konuþuyor. 
Faruk isimli þahýs, vali yardýmcýsýný hemen arayacaðýný ve gerekeni yapacaðýný söyleyip kapatýyor. 

Iraklý Alman þahýs, geri gönderilme iþlemi baþlatýlmadan transit bölgedeki “ *YOO OTEL* “ tarafýna normal statüde çýkarýlýyor. Oysa çýkarýlamaz. Yasak ve suçtur. 
Iraklý Alman ile gelen vali yardýmcýsý, transit bölgede bulunan otelde konuþuyorlar. 1 saat sonra Iraklý Alman pasaport kontrolünden geçmeye çalýþýrken eski ve tecrübeli bir polis memurunun dikkati sayesinde ülkeye giriþi engelleniyor. 
Vali yardýmcýsý, nüfuzunu kullanarak kaçak þahsý ülkeye sokmaya çalýþmýþtýr. Þimdi soralým
1)Vali bu konu hakkýnda soruþturma yemiþ midir? 
2)Burada göçmen kaçakçýlýðýndan yapýlmasý gereken iþlem yapýlmýþ mýdýr? 3)Ýþi pek anlamayan yeni bir polis memuru olsaydý kýrmýzý apronlu kartý olan sayýn valiye boyun mu eðecekti!? 
4)il göç idare ve emniyetin göçmen kaçakçýlýðýna bilgi verildi mi? Verilmediyse neden ?
5)Göçmen kaçakçýlýðýnýn bu konu hakkýnda bilgisi var mýdýr?1Havalimaný müdürü *…* *..”ve il göç uzmaný *..”bu iþin neresinde ? Iraklý Alman eðer son 2 gün içinde kendi rýzasý ile dönmedi ise hala Türkiye’de. 
6)Yaklaþýk saklama süresi 30 gün olan kamera kayýtlarý incelendiðinde iddianýn doðruluðu görülecektir. Pasaport vs belgelerin fotoðraflarý bende mevcut. Sýnýr namustur. Deldiren namussuz.";
Jun 21, 2023;Kurban Bayramýndan sonra bütün kitaplarda bulabilirsiniz. Türkiye’nin nasýl iþgal edildiði ve iþgale karþý nasýl direnilmesi gerektiðini anlatan bu kitabý isteyen herkese Zafer Partisi’ne baðýþ kaydý ile imzalý olarak yollayacaðým. ;
Jun 20, 2023;Türkiye’deki Suriyeliler neden vatanlarýna dönmüyor sorusuna 8 Yýl sonra Hama’ya dönen bir Suriyeli cevap vermiþ.;
Jun 20, 2023;Bu kamuflaj Suriye'de leblebi çekirdek gibi satýlýyor. Bununki saðlam. ÖSO saha elemaný olsa daha yýpranmýþ olurdu. Ayakkabýlarý da yýpranmamýþ. Sýrt çantasý pahalý þehir çantasý. Aqua Florya duraðýnda inme nedeni o durakta inince çok kýsa yürüme mesafesinde Suriye muhalefetinin binasý var. Muhtemel orada koruma bu adam. Ve Türk istihbaratýnýn bilgisi dahilinde. Þimdilik bu kadar.;
Jun 20, 2023;Türkiye’de Sýðýnmacý ve kaçak konumundaki Suriyeliler Twiter hesabýmýn kapatýlmasý için bir kampanya baþlatmýþlar. Türk haklý kapatýlmamasý için eminim bana destek olacaktýr. ;
Jun 19, 2023;Almanya’da yaþayan bir Türk arkadaþým yazdý.Ukrayna’dan kaçan bir anne ve iki çocuðunu bir süre evlerinde misafir etmiþler. Bir süre sonra kadýn iki çocuðu ile ülkesine dönmeye karar vermiþ. Arkadaþým ve ailesi “Tehlikeli olur” diye karþý çýkmýþlar. Ýkna edememiþler. Ukraynalý kadýn “Ülkem kurtuluþ savaþý veriyor ve çocuklarým bunu yaþamalý ki ülkelerinin kýymetini bilsinler” demiþ.;
Jun 17, 2023;"Tarihçi ve yazar Prof. Dr. Ýlber Ortaylý; ""Suriyelileri Halvetiye Dergahý'na davet eder gibi ülkeye dolduramazsýnýz. Türk vatandaþlýðýný da satýlýða çýkaramazsýnýz. 300-400 bin dolara satýlan vatandaþlýðý sýradan insanlar alamaz. Uyuþturucu kaçakçýlarý, kara para aklayýcýlarý, çete liderleri alýr. Bir kiþi 10 daire alýyor, Türkiye'nin profesörleri kiralýk daire bulamýyor.""";
Jun 15, 2023;Erdoðan baþta olmak üzere sivil-asker bütün yöneticilerin okumasý gereken bir kitap. Pakistan’ýn dünü ve bugünü Türkiye’nin yarýný anlamýný taþýyor. Demografik bir iþgal yaþayan ülkemiz Erdoðan tarafýndan bir felakete sürükleniyor. Erdoðan’ýn politikalarýna destek verenler ülkemizi yýkýma, kendi çocuklarý da dahil olmak üzere çocuklarýmýzý bir felakete sürüklüyorlar. 15 Temmuz ve Hendek terörünün çocuk oyuncaðý olarak görüleceði bir Türkiye’ye hýzla ilerliyoruz. Bu noktadan sonra geliþmeleri ihale siyasetçileri ile engellememiz mümkün deðil. Türk Milleti’nin kurtuluþu ihaleciler eli ile deðil Türk gençliðinin siyasete aktif katýlýmý ile mümkün;
Jun 13, 2023;Ýran kaynaklarý son 1 ay içinde 20 bin Afgan’ýn Ýran üzerinden Türkiye’ye girdiði bilgisini paylaþýyor. Tek çözüm Ottawa Anlaþmasý’ndan çekilmek ve sýnýrlarýmýza mayýn döþemek;
Jun 13, 2023;Arap bar ve pavyon patronlarý “Ümit Özdað bizi linç ediyor” diyerek Türk basýn mensuplarýnýn bar ve pavyonlardan haber yapmasýný engelliyorlar. Zafer Partisi sizleri linç etmeyecek. Sadece vatanýnýza yollayacak. Türk halký sizden býktý. Bu ülkede Erdoðan’dan baþka sizi kimse istemiyor. https://twitter.com/HudutNamu3tur/status/1668163444296630272;
Jun 12, 2023;Japon polisi kadýnlarý taciz edene bu þekilde davranýp caydýrýcý olmasý için filme alýyor ve sýnýr dýþý ediyor. Türkiye’de ise Süleyman Soylu tacizci Afganlarýn aslýnda taciz etmediklerini, öz çekim yaptýklarýný söylüyordu. Zafer Partisi iktidarýnda Japon polisininin yaptýðýný yapacaðýz.Kadýnlarý taciz eden Türklere de Atatürk döneminde ne yapýlýyorsa aynýsýný uygulayacaðýz;
Jun 12, 2023;"Ýzleyince kýzacaksýnýz. Haklýsýnýz kýzmakta. Peki, deðiþtirmek için ne yaptýnýz? Yapmak istiyorsanýz Zafer Partisi’ne üye olun: 
@zaferpartisi";
Jun 12, 2023;Bu konuya yüzlerce kez dikkat çektik. Suriye’nin Þam’a kadar ilaç ihtiyacý sizin ödediðiniz vergiler ile ödeniyor dedik. 151 milyar dolar Türkiye’deki Suriyeliler için 50 milyar dolar Suriye’nin kuzeyindekiler için harcanýyor dedik. Suriyeliler ve diðerleri vatanlarýna dönmeden bizim için güvenlik ve ekonomik kalkýnma mümkün deðil, oy verin vatanlarýna yollayalým dedik: Her 100 kiþiden 2.2’si “peki yollayýn” diyerek oy verdi. Artýk gelecek seçimi bekleyeceðiz.;
Jun 11, 2023;Sýðýnmacýlara karþý açýklama yaptý diye gözaltýna alýndý. Çevreyi rahatsýz etmekten 600 TL para cezasýna çarptýrýldý. Çevreyi rahatsýz etmeye devam edeceðiz. Kubilay gözlerinden öperim;
Jun 10, 2023;Herhalde Cem Toker’in ýrkçý, yabancý düþmaný olduðunu kimse söyleyemez. Cem Toker, kafasýnda milli menfaat kavramý olan Ýngiliz veya Alman bir liberal gibi konuþmuþ. Doðrusu bu: Bir de bizim liberal olmayý Türk düþmaný ve kozmopolit olmak zanneden liberal solcularýmýz var.;
Jun 10, 2023;Ýstanbul’da Osmanbey metrosunda iþ çýkýþýnda en çok konuþulan ikinci dil Türkçe. Deneyin göreceksiniz.;
Jun 10, 2023;Hadi oradan þerefsiz. Sen vatanýndan kaçýp Türkiye’ye gelip burada Türk kadýnlarýna hakaret edemezsin. Bu haysiyetsiz tahrikçiyi hemen sýnýr dýþý edin. Zafer Partisi bu ahlaksýz ile ilgili hemen suç duyurusunda bulunacak. ;
Jun 10, 2023;Ýçiþleri Bakanlýðý’nýn desteklediði projeye bakýn. Akýl tutulmasý diyeceðim ama tutulacak bir akýlda yok ortada. Kýzlarýmýza yabancý damat arayacaðýnýza oðullarýmýza iþ bulacak ortam yaratýn ki kýzlarýmýza evlenme teklif edebilsinler.;
Jun 9, 2023;Yoruma gerek var mý? Türkçe bilmeyen bu adam kaderimizi belirledi. Zafer Partisi hepsinin vatandaþlýðýný iptal edecek.;
Jun 8, 2023;Bugün Destek Yayýnlarý’ný ziyaret ettim. Destek’ten çýkacak eski ve yeni kitaplarýmý konuþtuk. Sohbet uzadý. Sevgili Destek çalýþanlarý ile fotoðraf çektirdik. Ve onlar fotoðrafý yayýnlamadan önce üzerinde biraz çalýþmýþlar.??2 Afgan’a gelince onlar Afgan deðil safkan.????Destek;
Jun 8, 2023;RTÜK açýkça Anayasa’yý ihlal ediyor. RTÜK’ü bu eyleminden dolayý mahkemeye vereceðim. Suriyeliler ile seçim sonuçlarý arasýnda bað kurarak halký kin, nefret ve düþmanlýða teþvik ediyormuþum. Zafer Partisi ve Ümit Özdað ile ilgili bu þekilde açýlmýþ tek dava yok. Saray rejiminin Gestapo zihniyeti ile her alanda mücadele edeceðiz;
Jun 8, 2023;Zafer Partisi yabancýya toprak satýþýný yasaklayacak. Satýlmýþ araziler kamulaþtýrýlacak. Daire karþýlýðý verilen vatandaþlýklar iptal edilecek. Bunlarýn yapýlmasýný istiyorsanýz, bugün Zafer Partisi’ne üye olun, görev alýn, Türkiye’nin Filistin olmasýna izin vermeyin. ;
Jun 7, 2023;Bir kaç dakikanýzý ayýrýn ve ülkenizi, geleceðimizi nasýl kaybettiðinizi aðýr çekim izleyin lütfen. Üstelik bu iþgalin masraflarýný Türk milleti ödüyor. ;
Jun 7, 2023;Uyumayacaðýz, ölmeyeceðiz. Ülkemizi sýðýnmacý iþgaline terk etmeyeceðiz. Pes etmeyeceðiz, geri çekilmeyeceðiz, ümitsizliðe düþmeyeceðiz. ;
Jun 7, 2023;Bu çok önemli ve doðru bir tespit. Bütün radikal unsurlar Türkiye’ye yönlendiriliyor. Dýþarýdan ve içeriden eþ zamanlý olarak kuþatýlýyoruz. ;
Jun 5, 2023;Vatandaþlýk ve vatan birlikte satýlýyor. Satýlan her vatandaþlýk Türk milletinin egemenlik hakkýnýn elinden alýnmasý, vatan topraðýnýn ayaðýmýzýn altýndan kaymasýdýr.;
Jun 4, 2023;Hani Türk vatandaþlýðý verilenler Suriye’ye yollanamazdý. Bu da devletler hukuku sýðýnmacýlarýn geri yollanmasýnýn önünde engel þeklindeki yalan gibi bir yalan. Yasalara aykýrý vatandaþlýk verilenlerin hepsinin vatandaþlýðý iptal edilerek geri yollanacaklar. Zafer Partisi’ne üye ol, destek ver, ülkenin iþgal edilmesini engelle.;
Jun 4, 2023;"Prof. Dr. Ýlber Ortaylý þöyle demiþ: “Diðer mesele de maalesef Suriyeli göçmenlerin verecekleri rey bize daha az gösterildi. Neredeyse iki misli düzeyde seçime katýldýklarýndan söz ediliyor. Türkiye gibi bir ülkenin nüfusunun neredeyse 1/20’i kadar bir ilaveyi kabul etmesi mümkün deðildir. Gelecekte kaynaþma, iktisadi, kültürel senteze dönüþmek þöyle dursun; iç kavgalara, irridantist özlemlere, partileþmeye ve siyasi taleplere dönüþür. Otokton ve otantik; yani yerleþik ve özgün olmayan bir toplumun 21. yüzyýlda herhangi bir memlekette söz sahibi olmasý hiçbir yerde mümkün deðildir.

Toplumla bütünleþme yeteneðine sahip göçmen gruplarýnýn kimler olduðu bellidir. Türkiye bu gruplarýn göçüne yardým etmelidir. Çünkü kuruyan ziraatýmýz, mahvolan hayvancýlýðýmýz bu gelen iþgücüne de ihtiyaç duyuyor. Gelenler içinde nitelikçe iskân ve vatandaþlýk kanununun ruhu buna müsaittir. Suriyelilerin varlýðý bir tarihi kazadýr. Bunlarýn burada kalmasýna müsaade edilmesi mümkün deðildir çünkü bu sorun hiçbir zaman çözülemeyecek. Türkiye bu kadar ýssýz ve imkânlý bir ülke deðil. Siyaset üzerinden sosyal mühendislik yapamazsýnýz. Geleceðin Türkiye’sini sizin temennileriniz ve arzularýnýz doðrultusunda karþýlamanýz ve kurmanýz mümkün deðildir. Toplum mühendislik alaný deðildir; ona yön vermek geniþ bir toplumsal uyumu ve zamaný gerektiren bir olgudur.”";
Jun 2, 2023;3 sene önce Dýþiþleri Bakanlýðý’nda bir bakan yardýmcýsýna Hatay’daki Suriyeli istilasý ve “Biz gitmeyeceðiz, Türkler gidecek” þeklindeki propaganda çalýþmalarý konusunda bilgi verdim. Daha sonra TBMM’de bu bakan yardýmcýsýnýn Suriyelileri vatandaþlýk verilmesine YARDIMCI olduðunu öðrendim. Güzel yurdumuz ayaðýmýzýn altýndan ihanetle kayýyor. Sonunda devlet yollamaz ise Millet yollayacak. Zafer Partisi devlet yollasýn mücadelesi veriyor.;
